time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.715863	0.595445	7.26417	-3.20386e-17	-8.80895e-19	radar	73.9085	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.07296	0.525445	7.33982	-0.278643	-0.0453354	lidar	1.01305	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27476	0.529144	6.62032	-0.300606	-0.315932	radar	5.24716	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61417	0.473183	6.55035	-0.264486	-0.231094	lidar	1.42891	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85489	0.526669	5.85035	-0.127432	-0.167627	radar	4.33418	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15565	0.521996	5.80338	-0.0941923	-0.00947632	lidar	0.975965	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36403	0.606751	5.33714	0.0465184	0.441772	radar	5.03956	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.63383	0.632126	5.33443	0.0816169	0.490462	lidar	0.0928023	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89621	0.647527	5.3106	0.0939905	0.446957	radar	0.0423835	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.12976	0.666781	5.27043	0.11286	0.435863	lidar	0.812788	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.41659	0.576228	5.29695	-0.0117849	0.0146486	radar	2.60517	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72326	0.487091	5.37378	-0.110788	-0.248315	lidar	3.65612	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.00004	0.556757	5.43875	-0.0194609	0.00792915	radar	2.26675	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27687	0.559547	5.44664	-0.0120765	0.0237609	lidar	0.0790983	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53208	0.602127	5.30356	0.0276403	0.103695	radar	0.963308	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71399	0.716132	5.14144	0.124918	0.284419	lidar	9.5174	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96542	0.71563	5.01324	0.1134	0.237969	radar	1.56644	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26692	0.707504	5.10315	0.0935188	0.18216	lidar	3.67717	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52785	0.716346	5.25075	0.0911455	0.163065	radar	1.80669	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82802	0.725935	5.31812	0.0863181	0.142191	lidar	2.0386	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06921	0.660528	5.10439	0.0376514	0.0564339	radar	4.46676	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32182	0.761429	5.11097	0.0965046	0.139249	lidar	2.33601	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57135	0.795484	5.06662	0.10879	0.146878	radar	0.122564	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.81786	0.789038	5.05311	0.0963581	0.119349	lidar	0.430149	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.05903	0.777527	4.87248	0.0822658	0.0918886	radar	2.17205	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27183	0.851366	4.82821	0.117759	0.133155	lidar	1.72879	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57181	0.868023	5.17265	0.114046	0.119151	radar	5.49056	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.82746	0.842029	5.16059	0.0903517	0.0806579	lidar	1.00047	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.07492	0.862431	4.98208	0.0929642	0.0785728	radar	2.18239	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31108	0.872781	4.95939	0.0907121	0.0706909	lidar	0.274921	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.58457	0.962784	5.26212	0.127278	0.113025	radar	5.90997	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82797	1.01505	5.23496	0.14298	0.125845	lidar	0.436626	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.11998	1.05684	5.28703	0.149274	0.125747	radar	6.78483	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.3613	1.08378	5.24896	0.150245	0.119083	lidar	0.659971	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64221	1.15933	5.31636	0.172199	0.139346	radar	4.09602	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92246	1.28151	5.37153	0.214581	0.184211	lidar	2.56709	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.167	1.3708	5.13867	0.241701	0.208792	radar	4.63642	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3879	1.44551	5.09413	0.259921	0.218855	lidar	1.0422	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.617	1.52466	4.88051	0.280226	0.232582	radar	2.64343	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8343	1.55002	4.83103	0.272638	0.208416	lidar	1.15619	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1043	1.60334	5.02405	0.271903	0.193016	radar	2.60477	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3865	1.64761	5.08286	0.265998	0.173175	lidar	2.23478	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6163	1.70194	4.98979	0.270249	0.168063	radar	0.633877	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8438	1.76358	4.96555	0.277059	0.16607	lidar	0.241809	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1033	1.85649	5.1539	0.293355	0.175049	radar	1.46158	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3488	1.88289	5.12568	0.278691	0.145517	lidar	0.686726	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6065	1.94564	5.23639	0.279634	0.136682	radar	0.601964	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8091	2.07975	5.1875	0.320844	0.179869	lidar	3.21499	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0791	2.19383	5.37392	0.340283	0.191531	radar	2.491	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.287	2.33491	5.32967	0.378705	0.227703	lidar	2.55632	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4597	2.47519	4.98183	0.42255	0.272888	radar	11.0011	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
