time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.715662	0.591142	7.10147	2.05409e-17	5.67942e-18	radar	74.7392	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.08959	0.532102	7.1641	-0.257519	-0.0454383	lidar	0.907114	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25715	0.537399	6.75943	-0.230635	-0.159733	radar	3.48096	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61121	0.505455	6.72861	-0.178721	-0.0849874	lidar	1.00201	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84981	0.538404	5.96158	-0.106558	-0.351121	radar	4.73283	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15793	0.536674	5.92768	-0.0856469	-0.220468	lidar	0.785517	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36962	0.609881	5.5136	0.0155006	0.0524567	radar	5.82358	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64542	0.627146	5.50368	0.0350931	0.116258	lidar	0.0953809	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.90697	0.639639	5.44647	0.0399776	0.0981756	radar	0.245851	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14398	0.649564	5.40517	0.0511293	0.119512	lidar	0.971498	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.42876	0.556606	5.4326	-0.0736957	-0.272508	radar	1.94598	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73616	0.459581	5.49963	-0.174669	-0.509056	lidar	2.83651	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01294	0.534573	5.49069	-0.069618	-0.178756	radar	2.92486	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.28875	0.53498	5.48865	-0.0597105	-0.135627	lidar	0.146727	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54689	0.573687	5.42258	-0.0225513	-0.0470495	radar	1.61437	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73736	0.684315	5.29866	0.0738602	0.148742	lidar	11.1532	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98964	0.68522	5.23592	0.0646251	0.116628	radar	2.51271	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29317	0.680582	5.2904	0.0519945	0.0838011	lidar	2.77732	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55083	0.689243	5.30162	0.053473	0.0797769	radar	1.4718	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84652	0.702196	5.33996	0.0548478	0.0754172	lidar	1.61778	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09124	0.634419	5.27045	0.00496308	-0.0091604	radar	4.77913	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34797	0.740404	5.26241	0.0689918	0.0873892	lidar	2.90414	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59868	0.773484	5.22472	0.0817329	0.0991439	radar	0.676174	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.8484	0.769715	5.21197	0.0723762	0.0790504	lidar	0.425974	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09345	0.756464	5.13857	0.0576444	0.0524142	radar	3.80366	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31564	0.835218	5.10104	0.0961583	0.100975	lidar	2.68721	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60475	0.849533	5.17808	0.0942921	0.0917281	radar	4.00031	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85629	0.825403	5.16775	0.0735104	0.058604	lidar	0.861953	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10708	0.845007	5.11981	0.0762396	0.0576218	radar	2.61581	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34589	0.858821	5.10018	0.0767286	0.0546618	lidar	0.515921	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.6111	0.947657	5.16637	0.114287	0.100038	radar	6.26291	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84867	1.00245	5.1463	0.132402	0.116918	lidar	0.697063	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13571	1.04245	5.19392	0.139246	0.11774	radar	6.60824	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37342	1.07216	5.17032	0.14266	0.114819	lidar	0.744771	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65024	1.14549	5.21417	0.164597	0.135003	radar	4.30714	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92157	1.26908	5.24367	0.209275	0.182948	lidar	2.81815	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1709	1.36067	5.20277	0.237969	0.210057	radar	4.63335	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3971	1.43934	5.17511	0.258076	0.222724	lidar	1.17314	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6305	1.52763	5.10781	0.283778	0.245532	radar	4.19179	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8585	1.55665	5.07693	0.276635	0.22145	lidar	1.49511	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1225	1.60891	5.10662	0.276329	0.205771	radar	1.85713	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4014	1.65139	5.13808	0.26981	0.183904	lidar	1.91707	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6336	1.71073	5.09763	0.276832	0.182866	radar	1.00897	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8648	1.77317	5.0793	0.283481	0.179974	lidar	0.422585	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1185	1.86297	5.12167	0.298247	0.185187	radar	1.27807	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3624	1.8891	5.10353	0.283885	0.155616	lidar	0.801372	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6171	1.94896	5.13615	0.283016	0.142615	radar	0.970577	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8173	2.0833	5.10589	0.32453	0.186116	lidar	3.33143	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0813	2.18859	5.17971	0.338706	0.187868	radar	3.52313	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2841	2.32972	5.15449	0.378374	0.226045	lidar	2.52601	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.466	2.479	5.06712	0.4266	0.279116	radar	10.8471	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7148	2.59217	5.09224	0.440986	0.279249	lidar	0.8137	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9346	2.70701	5.07514	0.459704	0.286854	radar	0.221795	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1624	2.85881	5.0963	0.490835	0.30724	lidar	0.554195	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4111	2.96537	5.14792	0.490143	0.280517	radar	1.5495	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6194	3.03764	5.09995	0.484901	0.257756	lidar	2.27551	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8492	3.18838	5.14821	0.506833	0.263957	radar	3.85427	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.055	3.38039	5.16879	0.551992	0.302896	lidar	1.13848	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.266	3.5473	5.163	0.584609	0.32821	radar	2.49313	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4785	3.73366	5.18986	0.619239	0.349962	lidar	0.675041	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6906	3.86781	5.17956	0.628636	0.340293	radar	0.970353	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9124	4.01013	5.18549	0.637871	0.33065	lidar	0.237019	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.108	4.17628	5.15325	0.667331	0.354914	radar	1.7714	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3053	4.36993	5.1753	0.698845	0.371137	lidar	0.385309	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5153	4.5332	5.18949	0.711019	0.361506	radar	0.659109	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6943	4.70171	5.17261	0.731952	0.365405	lidar	0.46463	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8463	4.90207	5.10693	0.783562	0.425006	radar	4.64554	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0111	5.12478	5.13024	0.823558	0.447061	lidar	0.507027	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1802	5.29982	5.10377	0.844684	0.450676	radar	1.80002	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3411	5.47953	5.08659	0.864321	0.447714	lidar	0.244103	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.496	5.65539	5.04731	0.887138	0.455677	radar	3.37129	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6923	5.7774	5.00458	0.873149	0.413045	lidar	2.09332	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8332	5.98071	4.9777	0.910162	0.443465	radar	1.1923	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0095	6.16593	4.98462	0.920332	0.428948	lidar	0.739941	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1572	6.37619	4.99407	0.945808	0.434017	radar	0.631109	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2796	6.60887	5.00942	0.983136	0.452187	lidar	0.426779	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4096	6.82583	5.00668	1.01258	0.463852	radar	0.236489	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5603	6.96301	4.93616	1.00631	0.431006	lidar	2.51653	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7088	7.16967	4.95832	1.01517	0.408032	radar	0.600123	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9086	7.30576	4.91792	0.990359	0.355921	lidar	4.28984	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9939	7.51663	4.86534	1.03593	0.404178	radar	4.24664	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0859	7.77227	4.89961	1.07877	0.430046	lidar	0.935101	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2057	7.98163	4.89812	1.09425	0.420732	radar	0.315328	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.286	8.19496	4.8753	1.12417	0.431609	lidar	1.46753	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3843	8.40739	4.87288	1.14011	0.418215	radar	2.3352	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4808	8.55706	4.78399	1.14409	0.400726	lidar	4.38684	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.57	8.76969	4.76564	1.16912	0.412016	radar	0.640347	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7342	8.93993	4.73942	1.15135	0.368402	lidar	4.33228	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.805	9.16538	4.72364	1.1878	0.399807	radar	1.03559	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9375	9.3843	4.74312	1.19029	0.379249	lidar	2.85365	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9798	9.61154	4.70892	1.23959	0.43213	radar	2.79681	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0688	9.84539	4.72825	1.25771	0.427728	lidar	0.616121	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1286	10.0932	4.75999	1.28325	0.425728	radar	7.01936	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1775	10.359	4.80182	1.31788	0.439974	lidar	0.729851	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1917	10.5975	4.78003	1.36824	0.487257	radar	2.94701	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2513	10.8645	4.82626	1.39251	0.485924	lidar	1.8781	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2805	11.1192	4.84954	1.42063	0.485308	radar	4.85468	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3149	11.3565	4.84635	1.44401	0.484406	lidar	0.00407793	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2585	11.6076	4.81946	1.52502	0.580002	radar	10.6481	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3309	11.8464	4.82626	1.52812	0.551009	lidar	4.78118	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3578	12.0802	4.83378	1.53062	0.499481	radar	3.7374	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3457	12.3619	4.88662	1.56674	0.509835	lidar	1.08105	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2946	12.6018	4.86448	1.62761	0.573532	radar	3.19288	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3198	12.8412	4.8604	1.63939	0.555217	lidar	1.8588	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3066	13.0739	4.84596	1.66622	0.558157	radar	2.11089	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2708	13.2891	4.81205	1.69664	0.562153	lidar	1.07085	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.232	13.5243	4.81145	1.72251	0.553417	radar	1.30398	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2124	13.7805	4.83449	1.74274	0.544502	lidar	1.28118	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1558	14.0091	4.82162	1.78004	0.56427	radar	0.853175	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1014	14.2618	4.84596	1.80857	0.563726	lidar	0.32851	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0294	14.491	4.84237	1.83994	0.565205	radar	1.38461	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.922	14.7424	4.87919	1.88277	0.579562	lidar	1.19988	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8554	14.9616	4.86236	1.89889	0.552496	radar	3.41368	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8239	15.1814	4.83281	1.90835	0.534165	lidar	2.17719	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.69	15.3921	4.8206	1.98703	0.640589	radar	7.82903	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6584	15.5845	4.75673	1.99555	0.617718	lidar	3.74589	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5636	15.7916	4.74384	2.02165	0.608243	radar	1.38721	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4604	16.0038	4.74279	2.05081	0.606945	lidar	0.0131656	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3587	16.2133	4.73909	2.06534	0.57155	radar	1.8697	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2486	16.3917	4.70008	2.0954	0.574571	lidar	0.791417	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1297	16.5896	4.69455	2.12511	0.57754	radar	0.289221	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0011	16.7971	4.70827	2.15338	0.576403	lidar	0.0953765	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8438	16.9887	4.72201	2.21369	0.64513	radar	6.42946	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6736	17.2183	4.79169	2.24755	0.644323	lidar	1.74418	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.571	17.4243	4.77443	2.2297	0.544284	radar	6.16782	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3599	17.6124	4.82209	2.27661	0.563259	lidar	3.81723	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2237	17.8043	4.8137	2.27868	0.508811	radar	2.34329	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0918	17.9911	4.79953	2.29468	0.499419	lidar	0.904453	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9154	18.1462	4.78803	2.33894	0.536316	radar	2.02561	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.782	18.2916	4.73142	2.36057	0.532674	lidar	1.14271	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6477	18.4739	4.7186	2.36725	0.503147	radar	6.65998	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4558	18.6528	4.75488	2.39477	0.504538	lidar	0.445868	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2742	18.7946	4.74257	2.43053	0.524099	radar	1.78949	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1119	18.9323	4.70963	2.455	0.523215	lidar	0.362576	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
